32_layers,numero_mask,recorte
0.9587118084227911,1181.0,3
0.6451612903225806,44.0,12
1.0,0.0,14
0.42857142857142855,11.0,15
0.9169811320754717,1022.0,24
0.9209855564995751,581.0,26
0.8282828282828283,48.0,28
1.0,0.0,31
0.7943548387096774,215.0,33
0.03333333333333333,26.0,34
0.930780559646539,1326.0,38
0.7210144927536232,294.0,55
0.0,0.0,56
0.88,359.0,60
0.9679860302677532,1697.0,65
0.8118811881188119,203.0,75
0.33962264150943394,11.0,85
0.559322033898305,72.0,90
0.7527675276752768,149.0,97
0.7918088737201365,316.0,100
0.963855421686747,84.0,104
0.7286821705426356,72.0,105
0.27350427350427353,84.0,116
0.9581239530988275,586.0,124
0.7773722627737226,278.0,127
1.0,0.0,131
0.11666666666666667,113.0,138
0.0,0.0,142
0.8235294117647058,28.0,145
0.8333333333333334,7.0,150
1.0,0.0,153
1.0,0.0,169
1.0,0.0,171
0.8596491228070176,715.0,173
0.9087656529516994,282.0,175
0.6605504587155964,88.0,177
0.9359605911330049,99.0,191
1.0,0.0,197
1.0,0.0,198
0.95,19.0,200
1.0,0.0,211
0.8190954773869347,218.0,217
1.0,0.0,220
1.0,0.0,224
0.5589519650655022,149.0,229
0.7651006711409396,67.0,231
0.8925281473899693,453.0,245
0.6618705035971223,87.0,251
0.8666666666666667,15.0,258
1.0,0.0,262
0.8188976377952756,60.0,267
1.0,0.0,280
1.0,0.0,281
0.8477366255144033,128.0,289
1.0,0.0,295
1.0,0.0,298
0.0,0.0,305
1.0,0.0,310
0.915282392026578,587.0,323
0.7736185383244206,230.0,324
1.0,0.0,333
0.9280639431616341,1101.0,340
0.9137276180141074,958.0,344
0.8939393939393939,135.0,359
0.8612945838837517,386.0,360
1.0,0.0,362
0.8910891089108911,51.0,378
0.9127272727272727,283.0,386
0.9052183173588925,464.0,388
1.0,0.0,391
0.8595744680851064,122.0,401
0.9093655589123867,334.0,402
0.0,9.0,403
0.9086859688195991,445.0,415
0.8202764976958525,114.0,420
1.0,0.0,425
1.0,0.0,434
0.8955223880597015,34.0,435
0.966120218579235,460.0,442
0.0,0.0,445
1.0,0.0,449
0.9874021109976167,2931.0,450
0.0,3.0,451
0.9365079365079365,62.0,461
0.9767441860465116,127.0,464
0.30303030303030304,12.0,479
0.6744186046511628,41.0,486
0.6122448979591837,24.0,487
0.0,0.0,494
0.896551724137931,56.0,503
0.8840579710144928,141.0,504
1.0,0.0,512
0.9119170984455959,100.0,515
1.0,0.0,520
0.7951807228915663,166.0,524
0.9152941176470588,428.0,533
0.8882175226586103,166.0,534
1.0,0.0,539
1.0,0.0,540
0.8856405846947549,561.0,541
0.9607072691552063,506.0,543
0.8919977616116396,870.0,545
0.9393939393939394,33.0,549
1.0,0.0,555
0.0,0.0,561
1.0,0.0,562
1.0,0.0,563
0.8808988764044944,222.0,569
0.952112676056338,346.0,574
0.15,37.0,587
0.6666666666666666,11.0,588
0.5393258426966292,26.0,589
1.0,0.0,590
1.0,0.0,592
1.0,0.0,595
1.0,0.0,596
0.8311688311688312,40.0,602
0.0,17.0,606
1.0,0.0,610
1.0,0.0,612
1.0,0.0,621
0.9375,76.0,623
1.0,0.0,624
1.0,0.0,632
0.02877697841726619,3.0,633
0.7529411764705882,46.0,639
0.9414316702819957,679.0,640
0.9319919517102616,1197.0,645
1.0,0.0,647
0.9419795221843004,143.0,648
0.945398615739554,1936.0,659
0.5926558497011102,422.0,665
0.7666666666666667,59.0,670
0.9411764705882353,35.0,692
0.832,63.0,693
1.0,0.0,695
0.0,21.0,703
1.0,0.0,710
1.0,0.0,712
0.8613861386138614,96.0,716
0.9845192021434951,3389.0,719
1.0,0.0,725
0.9686839577329491,2560.0,736
0.970314318975553,1711.0,753
0.9735967826543102,5707.0,754
0.7058823529411765,9.0,762
1.0,0.0,763
0.9197651663405088,251.0,771
0.0,7.0,772
1.0,0.0,775
0.7115384615384616,38.0,783
0.8241758241758241,233.0,786
1.0,0.0,788
0.0,6.0,796
0.8228043143297381,338.0,803
0.9230769230769231,27.0,809
0.07038123167155426,16.0,810
0.9070294784580499,205.0,813
0.9497716894977168,315.0,814
0.8653846153846154,54.0,816
1.0,0.0,819
0.9135802469135802,309.0,823
1.0,0.0,826
1.0,0.0,827
1.0,0.0,835
1.0,0.0,837
0.9778059606848446,795.0,843
1.0,0.0,851
0.9117647058823529,136.0,858
0.913601368691189,575.0,860
0.8780487804878049,23.0,864
0.9271523178807947,79.0,869
1.0,0.0,870
1.0,0.0,872
0.9300155520995335,307.0,875
1.0,0.0,877
1.0,0.0,879
1.0,0.0,887
1.0,0.0,889
0.7899543378995434,175.0,891
1.0,0.0,906
1.0,0.0,907
1.0,0.0,908
1.0,0.0,925
0.8876582278481012,568.0,933
1.0,11.0,934
1.0,0.0,941
1.0,0.0,944
1.0,0.0,945
